trace,job_count,one_gpu_jobs,two_gpu_jobs,unique_workloads,arrival_span_s,quantile_distance_mean,quantile_distance_p95,makespan_s,waiting_mean_s,waiting_p95_s,waiting_p99_s,jct_mean_s,jct_p95_s,jct_p99_s
Philly,60,58,2,52,9404.0,0.004845446950710105,0.009667024704618665,42136.47000000001,16726.779333333332,28809.03250000001,29440.822600000007,18601.151333333335,30216.703500000003,33371.70809999999
Saturn,60,56,4,53,2409.0,0.010230880230880233,0.0100185528756957,46644.25,15133.723166666665,36316.31149999999,40188.4069,17077.936166666666,40449.8515,43831.07629999999
Venus,60,58,2,52,16238.0,0.004845446950710105,0.009667024704618665,44106.119999999995,14107.807499999997,25806.639,26423.9372,15982.179500000002,26603.555,27520.261899999994
