trace,gpu_count,full_eligible,selected_window,mapped_trace
Philly,1,0.9767585875691934,0.9666666666666667,0.9666666666666667
Philly,2,0.02324141243080656,0.03333333333333333,0.03333333333333333
Saturn,1,0.9673095647490212,0.9333333333333333,0.9333333333333333
Saturn,2,0.032690435250978846,0.06666666666666667,0.06666666666666667
Venus,1,0.9431561511820509,0.9666666666666667,0.9666666666666667
Venus,2,0.05684384881794911,0.03333333333333333,0.03333333333333333
