0,1
181,1
33,1
0,1
29,1
28,1
151,1
124,1
1,1
19,1
46,1
55,1
94,1
58,1
347,1
353,1
28,1
219,1
576,1
25,1
599,1
600,1
118,1
482,1
253,1
347,1
378,1
35,1
187,1
202,1
399,1
225,1
376,1
599,1
599,1
487,1
113,1
289,1
271,1
40,1
410,1
190,1
600,1
486,1
94,1
20,1
29,1
571,1
98,1
99,1
128,1
275,1
107,1
493,1
416,1
184,1
439,1
83,1
23,1
56,1
260,1
657,1
282,1
52,1
549,1
199,1
397,1
4,1
286,1
913,1
88,1
15,1
2,1
343,1
152,1
601,1
600,1
49,1
1,1
272,1
247,1
30,1
240,1
360,1
589,1
11,1
601,1
344,1
257,1
0,1
