0,1
73,1
441,1
52,1
51,1
365,1
18,1
166,1
439,1
83,1
23,1
56,1
260,1
26,1
313,1
17,1
301,1
187,1
8,1
56,1
31,1
52,1
84,1
465,1
199,1
272,1
125,1
4,1
286,1
283,1
30,1
63,1
341,1
196,1
88,1
9,1
4,1
2,1
2,1
3,1
108,1
232,1
152,1
249,1
52,1
300,1
419,1
181,1
49,1
1,1
272,1
247,1
30,1
221,1
19,1
100,1
256,1
4,1
589,1
11,1
95,1
370,1
91,1
45,1
197,1
147,1
257,1
0,1
175,1
208,1
191,1
24,1
94,1
126,1
74,1
5,1
7,1
294,1
394,1
123,1
83,1
30,1
36,1
228,1
80,1
65,1
2,1
4,1
60,1
43,1
52,1
27,1
122,1
3,1
384,1
65,1
73,1
62,1
115,1
32,1
